"","X.1","X","Summons.Number","Plate.ID","Registration.State","Plate.Type","Issue.Date","Violation.Code","Vehicle.Body.Type","Vehicle.Make","Issuing.Agency","Street.Code1","Street.Code2","Street.Code3","Vehicle.Expiration.Date","Violation.Location","Violation.Precinct","Issuer.Precinct","Issuer.Code","Issuer.Command","Issuer.Squad","Violation.Time","Time.First.Observed","Violation.County","Violation.In.Front.Of.Or.Opposite","House.Number","Street.Name","Intersecting.Street","Date.First.Observed","Law.Section","Sub.Division","Violation.Legal.Code","Days.Parking.In.Effect","From.Hours.In.Effect","To.Hours.In.Effect","Vehicle.Color","Unregistered.Vehicle.","Vehicle.Year","Meter.Number","Feet.From.Curb","Violation.Post.Code","Violation.Description","No.Standing.or.Stopping.Violation","Hydrant.Violation","Double.Parking.Violation","Latitude","Longitude","Community.Board","Community.Council","Census.Tract","BIN","BBL","NTA"
"3928",3928,5924703,8519265844,"DPG1920","NY","PAS","06/20/2017",46,"SUBN","ACURA","T",24890,18590,18610,"20180423",19,19,19,345205,"T103","EE","0253P","","NY","F","1178","Lexington Ave","","0",408,"f1",NA,"YYYYYYY","","","BLACK",NA,2006,"",0,"A","46A-Double Parking (Non-COM)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3929",3929,5515700,7622863130,"1CE0688","MD","PAS","01/18/2017",20,"SUBN","NISSA","T",9230,5430,5580,"20180188",72,72,72,347637,"T730","X1","0741A","","K","F","415","53rd St","","0",408,"d",NA,"YYYYYYY","","","BLUE",NA,0,"",0,"01","20A-No Parking (Non-COM)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3930",3930,215930,8512153209,"24731JZ","NY","COM","03/07/2017",14,"VAN","UTILI","T",18210,0,0,"88880088",19,19,19,353431,"T103","CC","0914A","","NY","I","N","E 61st St","15ft E/of 5th Ave","0",408,"c",NA,"Y","0700A","0700P","WHITE",NA,2008,"",0,"52","14-No Standing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3931",3931,4751882,1418564333,"FZM4117","NY","PAS","02/15/2017",21,"SDN","NISSA","S",0,40404,40404,"20190107",112,112,0,589332,"QW06","0000","1150A","","Q","O","66-46","THORTON PL","","0",408,"D1",NA,"BBYBBBB","1130A","0100P","BLACK",0,2007,"-",0,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3932",3932,2439021,7492290410,"DFN5085","NY","PAS","08/17/2016",14,"4DSD","ME/BE","T",29820,19200,795,"20170501",45,45,45,361790,"T202","G","1132A","","BX","F","1646","Eastchester Rd","","0",408,"c",NA,"YYYYYYY","","","BLACK",NA,2014,"",0,"10 2","14-No Standing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3933",3933,1016236,8487512446,"GVS9265","NY","PAS","01/03/2017",70,"SUBN","HONDA","T",10240,62590,9140,"20161225",108,108,108,362164,"T401","L","0747A","","Q","F","39-70","45th St","","0",408,"j3",NA,"YYYYYYY","","","WHITE",NA,2015,"",0,"J 41","70A-Reg. Sticker Expired (NYS)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3934",3934,1492008,8502706019,"GAC1404","NY","PAS","01/22/2017",20,"4DSD","HONDA","T",82930,58130,72930,"20180611",81,81,81,347663,"T301","M","0755A","","K","O","235","Stuyvesant Ave","","0",408,"d",NA,"YYYYYYY","","","GREY",NA,2009,"",0,"J","20A-No Parking (Non-COM)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3935",3935,3054318,7157855446,"GRH4564","NY","PAS","09/12/2016",31,"SUBN","HYUND","T",8790,15540,15640,"20180629",115,115,115,356499,"T401","B","0109P","","Q","O","73-08","37th Ave","","0",408,"l3",NA,"Y","0900A","0700P","GREY",NA,2001,"",0,"14-A","31-No Stand (Com. Mtr. Zone)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3936",3936,1522731,8063579215,"XDAB32","NJ","PAS","01/27/2017",14,"DELV","ISUZU","T",18890,10210,10110,"88880088",23,23,23,361349,"T103","R","0121P","","NY","F","225","E 96th St","","0",408,"c",NA,"YYYYYYY","","","WHITE",NA,0,"",0,"27","14-No Standing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3937",3937,7759088,1414775842,"GLA8080","NY","PAS","01/21/2017",71,"SUBN","HONDA","P",10620,28080,28110,"20171006",47,47,47,959887,"0047","0000","0536P","","BX","F","3674","BARNES AVE","","0",408,"E2",NA,"BBBBBBB","ALL","ALL","RED",0,2014,"-",0,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3938",3938,1102793,5094303480,"HJP8053","NY","PAS","11/12/2016",7,"4DSD","NISSA","V",0,0,0,"0",NA,0,0,0,"","","0420P","","QN","","","S CONDUIT AVE (E/B)","@ FARMERS BLVD","0",1111,"D",TRUE,"","","","GOLD",NA,2001,"",0,"","FAILURE TO STOP AT RED LIGHT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3939",3939,9120873,8516300950,"HHL4171","NY","PAS","06/06/2017",74,"SUBN","NISSA","T",44990,44990,29690,"20180601",24,24,24,341299,"T103","BB","1107A","","NY","F","785","West End Ave","","0",408,"j2",NA,"YYYYYYY","","","BLACK",NA,2013,"",0,"43","74A-Improperly Displayed Plate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3940",3940,4260143,5096283896,"EJR7119","NY","PAS","05/03/2017",7,"SUBN","TOYOT","V",0,0,0,"0",NA,0,0,0,"","","0432P","","QN","","","QUEENS BLVD (E/B) @","70TH ST","0",1111,"D",TRUE,"","","","GREY",NA,2008,"",0,"","FAILURE TO STOP AT RED LIGHT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3941",3941,3898939,1411583929,"D8404V","WA","PAS","03/12/2017",40,"SDN","HYUND","P",42795,18510,48400,"20170331",120,120,120,955998,"0120","0000","0825P","","R","O","140","PARKHILL AVE","","0",408,"J2",NA,"BBBBBBB","ALL","ALL","BLUE",0,0,"-",3,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3942",3942,2939029,1414610750,"GRB7096","NY","PAS","08/31/2016",70,"SUBN","HYUND","P",0,0,0,"20160830",34,34,34,893729,"0034","0000","0124P","","NY","F","","N/W C/O AMSTERDAM AV","W 190 ST","0",408,"E2",NA,"BBBBBBB","ALL","ALL","BLACK",0,2014,"-",0,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3943",3943,1770785,4630392919,"GBM7858","NY","PAS","02/03/2017",36,"4DSD","HONDA","V",0,0,0,"0",NA,0,0,0,"","","0208P","","ST","","","EB BRIELLE AV. WELLB","ROOK AV- GOWER ST","0",1180,"B",TRUE,"","","","BLUE",NA,2015,"",0,"","PHTO SCHOOL ZN SPEED VIOLATION",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3944",3944,5143325,5096311351,"HKL1233","NY","PAS","05/05/2017",7,"4DSD","TOYOT","V",0,0,0,"0",NA,0,0,0,"","","1104P","","QN","","","QUEENS BLVD (E/B) @","70TH ST","0",1111,"D",TRUE,"","","","WHITE",NA,2012,"",0,"","FAILURE TO STOP AT RED LIGHT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3945",3945,4461056,7081491595,"DL327U","NY","PAS","11/06/2016",71,"4DSD","CHEVR","T",18770,10210,10110,"20180416",19,19,19,363553,"T103","H","0920A","","NY","F","232","E 89th St","","0",408,"j6",NA,"YYYYYYY","","","BROWN",NA,0,"",0,"32 7","71A-Insp Sticker Expired (NYS)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3946",3946,9722356,8292583830,"GSR3301","NY","PAS","01/03/2017",21,"SUBN","JEEP","T",33030,18630,34130,"20181231",90,90,90,358160,"T301","N","1112A","","K","O","125","Division Ave","","0",408,"d1",NA,"Y  Y","1100A","1230A","SILVER",NA,2002,"",0,"14 3","21-No Parking (street clean)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3947",3947,5668364,8366515874,"GNN8441","NY","PAS","08/14/2016",71,"4DSD","BUICK","T",35330,32600,14030,"20170602",70,70,70,363034,"T302","P","0342P","","K","F","884","E 12th St","","0",408,"j6",NA,"YYYYYYY","","","BLUE",NA,2002,"",0,"02 3","71A-Insp Sticker Expired (NYS)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3948",3948,2366908,4628903748,"GFV6095","NY","PAS","12/23/2016",36,"SUBN","HONDA","V",0,0,0,"0",NA,0,0,0,"","","0824A","","BK","","","EB EASTERN PKWY @ WA","SHINGTON AVE","0",1180,"B",TRUE,"","","","GREY",NA,2011,"",0,"","PHTO SCHOOL ZN SPEED VIOLATION",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3949",3949,3505865,8520264761,"KKA1557","PA","PAS","04/28/2017",37,"SUBN","JEEP","T",13610,35270,35290,"88880088",20,20,20,362195,"T103","S","0555P","0525P","NY","F","2139","Broadway","","20170428",408,"h1",NA,"Y","0830A","1000P","BLACK",NA,0,"108-3057",0,"53","37-Expired Muni Meter",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3950",3950,3547472,7944768640,"GTC2254","NY","PAS","04/09/2017",14,"SUBN","DODGE","T",54580,8790,8990,"20181215",109,109,109,358645,"T401","R","0248P","","Q","F","37-18","Main St","","0",408,"c",NA,"YYYYYYY","","","GREY",NA,2005,"",0,"43","14-No Standing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3951",3951,10178368,8566104810,"GSN3431","NY","PAS","05/22/2017",38,"SUBN","NISSA","T",59990,11440,11540,"20180720",110,110,110,352045,"T803","BB","0824P","","Q","F","87-11","Queens Blvd","","0",408,"h1",NA,"Y","0800A","1000P","GREY",NA,2011,"",0,"E","38-Failure to Display Muni Rec",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3952",3952,1543006,8450010494,"GED9848","NY","PAS","10/11/2016",46,"SUBN","CHEVR","T",8590,39615,59590,"20170523",109,109,109,362608,"T401","K","0802A","","Q","F","133-27","35th Ave","","0",408,"f1",NA,"","","","RED",NA,2003,"",0,"50-A","46A-Double Parking (Non-COM)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3953",3953,5648615,8253563140,"EKL5074","NY","PAS","11/29/2016",21,"4DSD","HONDA","T",54580,14810,14890,"20180729",107,107,107,361354,"T402","L","0740A","","Q","F","70-29","Main St","","0",408,"d1",NA,"Y","0730A","0800A","BLACK",NA,1998,"",0,"I 42","21-No Parking (street clean)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3954",3954,8189581,8192042935,"HKR1754","NY","PAS","02/25/2017",46,"4DSD","BMW","T",64290,7990,37290,"20180828",114,114,114,364928,"T401","R","0354P","","Q","F","31-22","Steinway St","","0",408,"f1",NA,"","","","BLACK",NA,2013,"",0,"52-P","46A-Double Parking (Non-COM)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3955",3955,1494642,8457008006,"T705921C","NY","OMT","09/05/2016",10,"4DSD","TOYOT","T",9540,0,0,"20170531",109,109,109,363993,"T401","P","0445P","","Q","I","N","41st Ave","30ft E/of Main St","0",408,"b",NA,"YYYYYYY","","","GREY",NA,2011,"",0,"50-A","10-No Stopping",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3956",3956,5433352,8552030883,"24527MG","NY","COM","06/21/2017",47,"VAN","HINO","T",34510,13610,10610,"20170731",14,14,14,363141,"T106","M","0947A","","NY","O","148","W 37th St","","0",408,"l2",NA,"Y","0700A","0700P","BLUE",NA,2010,"",0,"99","47-Double PKG-Midtown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3957",3957,7587544,8504319532,"K035181","TX","PAS","05/05/2017",13,"DELV","HINO","T",0,0,0,"88880088",1,1,1,358525,"T105","H","1025A","","NY","I","E","William St","10ft N/of Wall St","0",408,"c2",NA,"YYYYYYY","","","WHITE",NA,0,"",0,"020","13-No Stand (taxi stand)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3958",3958,10697065,4622040098,"HEH3999","NY","PAS","06/27/2016",36,"4DSD","ME/BE","V",0,0,0,"0",NA,0,0,0,"","","0906A","","BK","","","SB KINGS HWY @ E 95T","H ST","0",1180,"B",TRUE,"","","","BLUE",NA,2016,"",0,"","PHTO SCHOOL ZN SPEED VIOLATION",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3959",3959,3621019,8507768878,"47567MG","NY","COM","05/26/2017",46,"REFG","ISUZU","T",26390,14310,25890,"20171231",5,5,5,361367,"T101","C","1112A","","NY","O","40","Monroe St","","0",408,"F1",NA,"YYYYYYY","","","WHITE",NA,2013,"",0,"27","46B-Double Parking (Com-100Ft)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3960",3960,4442523,8544755082,"FEW4649","NY","PAS","05/18/2017",21,"SUBN","DODGE","T",14080,35180,35230,"20181130",70,70,70,363473,"T302","F","1137A","","K","F","919","Avenue J","","0",408,"d1",NA,"Y","1130A","0100P","BLACK",NA,2010,"",0,"02","21-No Parking (street clean)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3961",3961,2867523,8559503626,"FJM6086","NY","PAS","04/30/2017",50,"4DSD","CHEVR","T",0,0,0,"20190305",109,109,109,357347,"T401","R","0100P","","Q","I","S","35th Ave","0ft E/of Union St","0",408,"e5",NA,"YYYYYYY","","","BLUE",NA,2008,"",0,"05","50-Crosswalk",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3962",3962,9642051,4628041039,"GJS6575","NY","PAS","12/08/2016",36,"4DSD","TOYOT","V",0,0,0,"0",NA,0,0,0,"","","1008A","","BK","","","EB FLATLANDS AVE @ E","58TH ST","0",1180,"B",TRUE,"","","","RED",NA,2011,"",0,"","PHTO SCHOOL ZN SPEED VIOLATION",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3963",3963,8528830,8579850137,"BLANKPLATE","99","PAS","06/12/2017",74,"MCY","VESPA","T",53130,54100,52130,"88880088",83,83,83,353078,"T730","B","0910A","","K","F","310","Jefferson St","","0",408,"j2",NA,"YYYYYYY","","","GREEN",NA,0,"",0,"01","74-Missing Display Plate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3964",3964,4505211,7852183621,"ARH5440","NY","PAS","10/26/2016",14,"4DSD","NISSA","T",17650,10210,10110,"20171024",13,13,13,342900,"T501","B","0741P","","NY","F","207","E 33rd St","","0",408,"c",NA,"YYYYYYY","","","RED",NA,0,"",0,"CC1","14-No Standing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3965",3965,5722316,8505153844,"HKM6084","NY","PAS","02/01/2017",37,"4DSD","TOYOT","T",23190,0,0,"20181012",6,6,6,363555,"T105","C","0417P","0330P","NY","I","W","Hudson St","50ft N/of Clarkson S","0",408,"h1",NA,"Y","0830A","0700P","GREY",NA,2007,"132-3060",0,"061","37-Expired Muni Meter",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3966",3966,2194760,4006194572,"GWY7954","NY","PAS","08/05/2016",5,"4DSD","NISSA","V",0,0,0,"0",NA,0,0,0,"","","1011A","","BK","","","SB NOSTRAND AVE @ EA","STERN PKWY","0",1111,"C",TRUE,"","","","WHITE",NA,0,"",0,"","BUS LANE VIOLATION",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3967",3967,10024659,8392554103,"AC30983","CT","PAS","12/16/2016",21,"4DSD","JEEP","T",93230,58730,85730,"20160088",78,78,78,330581,"T301","X","0812A","","K","O","521","Willoughby Ave","","0",408,"d1",NA,"Y  Y","0800A","0930A","GREY",NA,0,"",0,"C 31","21-No Parking (street clean)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3968",3968,8665815,8509815550,"4FA639","MA","PAS","04/13/2017",38,"SUBN","FORD","T",17130,10110,10010,"20170988",9,9,9,363957,"T101","C","1147A","","NY","O","48","E 7th St","","0",408,"h1",NA,"Y","0900A","0700P","BLACK",NA,0,"",0,"30","38-Failure to Display Muni Rec",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3969",3969,4626088,4635391905,"DJX4218","NY","PAS","06/21/2017",36,"SUBN","FORD","V",0,0,0,"0",NA,0,0,0,"","","0342P","","BK","","","SB KINGS HWY @ E 95T","H ST","0",1180,"B",TRUE,"","","","BLUE",NA,2002,"",0,"","PHTO SCHOOL ZN SPEED VIOLATION",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3970",3970,2660033,8489151568,"HKD9858","NY","PAS","12/09/2016",21,"4DSD","NISSA","T",17090,59990,54690,"20181002",112,112,112,358656,"T402","B","0736A","","Q","F","138-09","84th Dr","","0",408,"d1",NA,"Y","0730A","0800A","BLACK",NA,2008,"",0,"11 4","21-No Parking (street clean)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3971",3971,10736497,8324006760,"2033886","IN","PAS","06/29/2016",14,"DELV","INTER","T",17990,0,0,"88880088",17,17,17,347687,"T503","B1","0552A","","NY","I","N","E 50th St","20ft W/of Park Ave","0",408,"c",NA,"YYYYYYY","","","YELLOW",NA,0,"",0,"17 7","14-No Standing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3972",3972,5762062,8557265049,"GJX6825","NY","PAS","06/17/2017",37,"SUBN","NISSA","T",10390,47990,10440,"20171217",108,108,108,357800,"T401","G","0244P","0155P","Q","F","45-35","46th St","","0",408,"h1",NA,"Y","0900A","0700P","GREY",NA,2007,"401-3065",0,"36","37-Expired Muni Meter",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3973",3973,4605253,8300517868,"GPT7624","NY","PAS","09/02/2016",71,"SUBN","JEEP","T",53520,60420,20520,"20180616",49,49,49,358145,"T202","O","0650A","","BX","F","979","Neill Ave","","0",408,"j6",NA,"YYYYYYY","","","GREY",NA,2004,"",0,"H 22","71A-Insp Sticker Expired (NYS)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3974",3974,9774494,8530005340,"HGR6707","NY","PAS","03/25/2017",83,"SUBN","FORD","T",24020,27870,44620,"20180713",52,52,52,365371,"T201","Q","0519P","","BX","O","3409","Dekalb Ave","","0",408,"j1",NA,"YYYYYYY","","","WHITE",NA,2006,"",0,"32","83-Improper Registration",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3975",3975,2715381,1411026834,"HHC1183","NY","PAS","08/26/2016",67,"SDN","NISSA","P",77150,68220,13820,"20160930",49,49,49,957705,"0049","0000","0700P","","BX","F","2232","WHITE PLAINS RD","","0",408,"E2",NA,"BBBBBBB","ALL","ALL","WHITE",0,2014,"-",0,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3976",3976,108800,8081062762,"AC29443","CT","PAS","11/19/2016",14,"VAN","CHRYS","T",17230,10350,10210,"88880088",13,13,13,345454,"T800","A2","0154A","","NY","F","107","E 12th St","","0",408,"c",NA,"Y    YY","1200A","0600A","SILVER",NA,0,"",0,"C 77","14-No Standing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3977",3977,6357739,7062636060,"GHR5362","NY","PAS","10/24/2016",38,"2DSD","BMW","T",17310,10210,30090,"20170916",13,13,13,358585,"Manh","D","0928A","","NY","F","201","E 16th St","","0",408,"h1",NA,"Y","0900A","0700P","GREY",NA,2004,"",0,"14 6","38-Failure to Display Muni Rec",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3978",3978,7999462,4627140277,"HFZ2132","NY","PAS","11/21/2016",36,"4DSD","HONDA","V",0,0,0,"0",NA,0,0,0,"","","1237P","","QN","","","WB QUEENS BLVD @ 56T","H ST","0",1180,"B",TRUE,"","","","RED",NA,2013,"",0,"","PHTO SCHOOL ZN SPEED VIOLATION",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3979",3979,1330109,8475525064,"84046MG","NY","COM","01/19/2017",50,"DELV","HINO","T",0,0,0,"20170430",108,108,108,358155,"T401","M","0549A","","Q","I","N","51st Ave","0ft W/of 25th St","0",408,"e5",NA,"","","","WHITE",NA,2015,"",0,"R","50-Crosswalk",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3980",3980,7434161,1417592278,"37618JP","NY","COM","11/08/2016",46,"DELV","GMC","P",10210,18790,18810,"0",19,19,19,904776,"0019","0000","0144P","","NY","F","1604","THIRD AVENUE","","0",408,"F1",NA,"BBBBBBB","ALL","ALL","BROWN",0,1990,"-",0,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3981",3981,5987908,7073477453,"PSLM121","NY","SRF","02/24/2017",71,"4DSD","NISSA","T",24790,53890,20790,"20170522",113,113,113,363094,"T402","R","0307P","","Q","F","114-42","173rd St","","0",408,"j6",NA,"YYYYYYY","","","RED",NA,2015,"",0,"S","71A-Insp Sticker Expired (NYS)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3982",3982,6345049,4630359606,"GLL2187","NY","PAS","02/06/2017",36,"SUBN","CHEVR","V",0,0,0,"0",NA,0,0,0,"","","1054A","","BK","","","EB EASTERN PKWY @ WA","SHINGTON AVE","0",1180,"B",TRUE,"","","","BLACK",NA,2013,"",0,"","PHTO SCHOOL ZN SPEED VIOLATION",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3983",3983,3587198,7077030088,"FAZ7696","NY","PAS","09/02/2016",38,"SUBN","PORSC","T",35690,9690,9840,"20180526",111,111,111,357787,"T401","H","1226P","","Q","F","42-06","Bell Blvd","","0",408,"h1",NA,"Y","0900A","0700P","BLACK",NA,2012,"",0,"43-P","38-Failure to Display Muni Rec",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3984",3984,5675326,1404606040,"BLANKPLATE","99","PAS","06/03/2017",71,"MOTO","HONDA","P",16490,17390,51090,"0",102,102,102,965747,"0102","0000","0150P","","Q","O","86-41","79 ST","","0",408,"J3",NA,"BBBBBBB","ALL","ALL","BLACK",0,2015,"-",0,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3985",3985,403061,8482630090,"83400MG","NY","COM","06/06/2017",69,"VAN","CHEVR","T",34570,0,0,"20190430",14,14,14,346001,"T106","N","1256P","","NY","I","S","W 40th St","45ft E/of Broadway","0",408,"h1",NA,"Y","0700A","0600P","WHITE",NA,2015,"",0,"22","69-Failure to Disp Muni Recpt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3986",3986,4924816,8474908000,"51538JW","NY","COM","12/23/2016",51,"VAN","FRUEH","T",27590,16310,29890,"88888888",7,7,7,361870,"T101","F","0331P","","NY","F","134","Orchard St","","0",408,"e3",NA,"","","","BROWN",NA,2007,"",0,"77 1","51-Sidewalk",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3988",3988,3862462,8096536230,"YVA97V","NJ","PAS","03/20/2017",21,"SUBN","SUBAR","T",59890,61890,58190,"88888888",104,104,104,356551,"T402","A","1004A","","Q","O","1816","Putnam Ave","","0",408,"d1",NA,"Y  Y","0930A","1100A","GREY",NA,0,"",0,"30","21-No Parking (street clean)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3989",3989,10065670,1404600929,"GBV3835","NY","PAS","03/06/2017",50,"SUBN","TOYOT","P",0,0,0,"20180821",105,105,105,940734,"0105","0000","1132A","","Q","","","N/E C/O 265 ST","77 AVE","0",408,"E5",NA,"BBBBBBB","ALL","ALL","GREY",0,2015,"-",0,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3990",3990,7816445,8506864720,"37111JR","NY","COM","04/13/2017",16,"VAN","FORD","T",24190,20190,26790,"20180430",5,5,5,363050,"T101","B","0838A","0800A","NY","O","29","Kenmare St","","20170413",408,"k2",NA,"Y","0700A","0400P","WHITE",NA,2015,"",0,"03","16-No Std (Com Veh) Com Plate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3991",3991,5784318,8483405143,"GTW2115","NY","PAS","01/16/2017",14,"SUBN","ROVER","T",34390,0,0,"20170731",14,14,14,364897,"T102","G","0213P","","NY","I","N","W 31st St","20ft W/of 7th Ave","0",408,"c",NA,"YYYYYYY","","","BLACK",NA,2015,"",0,"99","14-No Standing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3992",3992,1904692,8059033645,"65445MA","NY","COM","08/25/2016",21,"VAN","FORD","T",35310,15710,11710,"20170331",20,20,20,332086,"T103","O","1111A","","NY","F","109","W 77th St","","0",408,"d1",NA,"Y  Y","1100A","1230A","WHITE",NA,2011,"",0,"47 7","21-No Parking (street clean)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3993",3993,9262539,8291515918,"EES3948","NC","PAS","10/25/2016",38,"4DSD","NISSA","T",42730,39930,70630,"20170988",75,75,75,351964,"T301","Y","0333P","","K","F","3293","Fulton St","","0",408,"h1",NA,"Y","0830A","0700P","GOLD",NA,0,"",0,"SPCL","38-Failure to Display Muni Rec",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3994",3994,245587,8523527023,"HHA5843","NY","PAS","06/02/2017",21,"SUBN","TOYOT","T",70720,27540,51420,"20180731",52,52,52,361387,"T201","A","0941A","","BX","F","2794","Valentine Ave","","0",408,"d1",NA,"Y  Y","0930A","1100A","RED",NA,2016,"",0,"01","21-No Parking (street clean)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3995",3995,7625378,8077044992,"63402JM","NY","COM","10/25/2016",46,"VAN","GMC","T",35490,11710,13610,"88888888",24,24,24,363953,"T103","N","0144P","","NY","F","200","W 86th St","","0",408,"F1",NA,"","","","BROWN",NA,1987,"",0,"42 7","46B-Double Parking (Com-100Ft)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3996",3996,10616683,4621630179,"T698107C","NY","OMT","06/20/2016",36,"4DSD","HONDA","V",0,0,0,"0",NA,0,0,0,"","","1011A","","QN","","","WB QUEENS BLVD @ 36T","H ST","0",1180,"B",TRUE,"","","","BLACK",NA,2016,"",0,"","PHTO SCHOOL ZN SPEED VIOLATION",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3997",3997,5756796,8024010549,"WTC14N","NJ","PAS","12/29/2016",21,"PICK","CHEVR","T",5530,5580,5680,"88888888",78,78,78,361096,"T302","B","1158A","","K","F","342","4th St","","0",408,"d1",NA,"Y","1130A","0100P","WHITE",NA,0,"",0,"56 3","21-No Parking (street clean)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3998",3998,6845668,8516153514,"19736MH","NY","COM","06/08/2017",82,"SUBN","VOLKS","T",18630,10210,10110,"20190307",19,19,19,343930,"T103","X","0925A","","NY","F","229","E 82nd St","","0",408,"k1",NA,"YYYYYYY","","","BLACK",NA,2011,"",0,"CC1","82-Unaltered Commerc Vehicle",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3999",3999,1458822,7000269327,"HJN6026","NY","PAS","10/04/2016",38,"SUBN","NISSA","T",16490,8790,61090,"20180830",115,115,115,355088,"T401","J","0259P","","Q","F","37-05","79th St","","0",408,"h1",NA,"Y","0900A","0700P","WHITE",NA,2007,"",0,"48-P","38-Failure to Display Muni Rec",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
